Número da conta: 74
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Pagamento     | 734    | -734
Pagamento     | 881    | -1615
Depósito      | 1076   | -539
Depósito      | 733    | 194
Depósito      | 947    | 1141
Saque         | 605    | 536
Depósito      | 520    | 1056
Depósito      | 162    | 1218
Depósito      | 510    | 1728
Depósito      | 643    | 2371
Depósito      | 892    | 3263
Saque         | 598    | 2665
Depósito      | 585    | 3250
Depósito      | 971    | 4221
Depósito      | 773    | 4994
Depósito      | 620    | 5614
Saque         | 487    | 5127
Pagamento     | 766    | 4361
Depósito      | 679    | 5040
Saque         | 415    | 4625
Pagamento     | 652    | 3973
Saque         | 960    | 3013
Depósito      | 469    | 3482
Depósito      | 548    | 4030
Saque         | 1046   | 2984
Depósito      | 591    | 3575
Depósito      | 793    | 4368
Depósito      | 445    | 4813
Saque         | 472    | 4341
Depósito      | 613    | 4954
Saque         | 1111   | 3843
Depósito      | 270    | 4113
Depósito      | 327    | 4440
Saque         | 599    | 3841
Depósito      | 638    | 4479
Depósito      | 702    | 5181
Saque         | 857    | 4324
Depósito      | 506    | 4830
Saque         | 524    | 4306
Depósito      | 1081   | 5387
Depósito      | 641    | 6028
Saque         | 928    | 5100
Depósito      | 538    | 5638
Saque         | 207    | 5431
Saque         | 638    | 4793
Saque         | 414    | 4379
Pagamento     | 753    | 3626
Depósito      | 573    | 4199
Depósito      | 839    | 5038
Saque         | 666    | 4372
Depósito      | 624    | 4996
Depósito      | 1215   | 6211
Saque         | 780    | 5431
Depósito      | 228    | 5659
Depósito      | 769    | 6428
Pagamento     | 634    | 5794
Depósito      | 826    | 6620
Saque         | 452    | 6168
Saque         | 512    | 5656
Pagamento     | 584    | 5072
Pagamento     | 912    | 4160
Saque         | 651    | 3509
Saque         | 276    | 3233
Depósito      | 1021   | 4254
Depósito      | 811    | 5065
Depósito      | 579    | 5644
Pagamento     | 764    | 4880
Depósito      | 667    | 5547
Pagamento     | 729    | 4818
Saque         | 604    | 4214
Saque         | 802    | 3412
Saque         | 309    | 3103
Saque         | 629    | 2474
Depósito      | 746    | 3220
Depósito      | 627    | 3847
Depósito      | 635    | 4482
Saque         | 655    | 3827
Depósito      | 672    | 4499
Depósito      | 1024   | 5523
Depósito      | 689    | 6212
Saque         | 572    | 5640
Pagamento     | 745    | 4895
Pagamento     | 632    | 4263
Pagamento     | 458    | 3805
Depósito      | 734    | 4539
Depósito      | 630    | 5169
Depósito      | 440    | 5609
Depósito      | 706    | 6315
Saque         | 284    | 6031
Pagamento     | 752    | 5279
Pagamento     | 772    | 4507
Depósito      | 26     | 4533
Saque         | 690    | 3843
Depósito      | 407    | 4250
Depósito      | 694    | 4944
Saque         | 558    | 4386
Depósito      | 611    | 4997
Pagamento     | 1381   | 3616
Depósito      | 662    | 4278
Depósito      | 445    | 4723
Depósito      | 450    | 5173
Saque         | 389    | 4784
Depósito      | 1236   | 6020
Depósito      | 277    | 6297
Depósito      | 541    | 6838
Depósito      | 575    | 7413
Pagamento     | 554    | 6859
Depósito      | 275    | 7134
Pagamento     | 879    | 6255
Depósito      | 1056   | 7311
Depósito      | 767    | 8078
Pagamento     | 772    | 7306
Saque         | 1007   | 6299
Saque         | 453    | 5846
Pagamento     | 1037   | 4809
Depósito      | 789    | 5598
Pagamento     | 487    | 5111
Pagamento     | 762    | 4349
Depósito      | 476    | 4825
Saque         | 743    | 4082
Depósito      | 436    | 4518
Depósito      | 821    | 5339
Saque         | 367    | 4972
Depósito      | 540    | 5512
Depósito      | 799    | 6311
Depósito      | 311    | 6622
Depósito      | 1085   | 7707
Saque         | 787    | 6920
Pagamento     | 222    | 6698
Depósito      | 290    | 6988
Saque         | 1053   | 5935
Depósito      | 795    | 6730
Depósito      | 686    | 7416
Depósito      | 662    | 8078
Pagamento     | 820    | 7258
Pagamento     | 535    | 6723
Pagamento     | 663    | 6060
Saque         | 444    | 5616
Saque         | 749    | 4867
Saque         | 427    | 4440
Saque         | 49     | 4391
Depósito      | 887    | 5278
Depósito      | 636    | 5914
Saque         | 504    | 5410
Saque         | 717    | 4693
Pagamento     | 1175   | 3518
Saque         | 486    | 3032
Saque         | 124    | 2908
Pagamento     | 673    | 2235
Depósito      | 399    | 2634
Pagamento     | 82     | 2552
Saque         | 372    | 2180
Saque         | 523    | 1657
Saque         | 577    | 1080
Depósito      | 929    | 2009
Depósito      | 850    | 2859
Depósito      | 223    | 3082
Pagamento     | 272    | 2810
Depósito      | 702    | 3512
Saque         | 814    | 2698
Pagamento     | 646    | 2052
Saque         | 414    | 1638
Pagamento     | 261    | 1377
Depósito      | 821    | 2198
Saque         | 577    | 1621
Saque         | 543    | 1078
Pagamento     | 578    | 500
Pagamento     | 594    | -94
Pagamento     | 433    | -527
Depósito      | 771    | 244
Depósito      | 458    | 702
Saque         | 849    | -147
Saque         | 21     | -168
Depósito      | 752    | 584
Pagamento     | 440    | 144
Pagamento     | 318    | -174
Depósito      | 449    | 275
Saque         | 480    | -205
Saque         | 355    | -560
Depósito      | 798    | 238
Pagamento     | 706    | -468
Depósito      | 702    | 234
Pagamento     | 872    | -638
Saque         | 395    | -1033
Depósito      | 933    | -100
Depósito      | 760    | 660
Saque         | 354    | 306
Saque         | 635    | -329
Saque         | 725    | -1054
Depósito      | 1251   | 197
Pagamento     | 681    | -484
Depósito      | 236    | -248
Depósito      | 742    | 494
Pagamento     | 796    | -302
Pagamento     | 365    | -667
Depósito      | 750    | 83
Pagamento     | 1103   | -1020
Pagamento     | 345    | -1365
Depósito      | 300    | -1065
Depósito      | 444    | -621
Saque         | 463    | -1084
Saque         | 873    | -1957
Depósito      | 523    | -1434
Pagamento     | 632    | -2066
Pagamento     | 633    | -2699
Pagamento     | 346    | -3045
Pagamento     | 753    | -3798
Pagamento     | 1082   | -4880
Depósito      | 630    | -4250
Depósito      | 874    | -3376
Saque         | 861    | -4237
Pagamento     | 706    | -4943
Pagamento     | 366    | -5309
Depósito      | 1151   | -4158
Pagamento     | 733    | -4891
Saque         | 422    | -5313
Saque         | 280    | -5593
Saque         | 827    | -6420
Pagamento     | 941    | -7361
Saque         | 581    | -7942
Pagamento     | 942    | -8884
Depósito      | 886    | -7998
Saque         | 739    | -8737
Depósito      | 266    | -8471
Depósito      | 794    | -7677
Depósito      | 841    | -6836
Depósito      | 801    | -6035
Saque         | 570    | -6605
Saque         | 237    | -6842
Pagamento     | 683    | -7525
Pagamento     | 614    | -8139
Saque         | 838    | -8977
Pagamento     | 598    | -9575
Saque         | 311    | -9886
Depósito      | 293    | -9593
Saque         | 434    | -10027
Saque         | 871    | -10898
Pagamento     | 942    | -11840
Depósito      | 289    | -11551
Pagamento     | 890    | -12441
Saque         | 621    | -13062
Depósito      | 36     | -13026
Saque         | 408    | -13434
Depósito      | 605    | -12829
Depósito      | 268    | -12561
Depósito      | 602    | -11959
Depósito      | 489    | -11470
Depósito      | 657    | -10813
Depósito      | 405    | -10408
Depósito      | 218    | -10190
Pagamento     | 557    | -10747
Pagamento     | 834    | -11581
Saque         | 512    | -12093
Depósito      | 404    | -11689
Saque         | 174    | -11863
Depósito      | 533    | -11330
Saque         | 457    | -11787
Depósito      | 370    | -11417
Depósito      | 431    | -10986
Saque         | 294    | -11280
Pagamento     | 836    | -12116
Depósito      | 1010   | -11106
Depósito      | 940    | -10166
Pagamento     | 629    | -10795
Saque         | 307    | -11102
Pagamento     | 316    | -11418
Depósito      | 915    | -10503
Pagamento     | 1054   | -11557
Saque         | 426    | -11983
Depósito      | 430    | -11553
Saque         | 259    | -11812
Depósito      | 505    | -11307
Pagamento     | 460    | -11767
Pagamento     | 847    | -12614
Saque         | 992    | -13606
Depósito      | 630    | -12976
Pagamento     | 587    | -13563
Saque         | 573    | -14136
Depósito      | 1041   | -13095
Depósito      | 602    | -12493
Saque         | 468    | -12961
Depósito      | 149    | -12812
Saque         | 1196   | -14008
Pagamento     | 176    | -14184
Pagamento     | 523    | -14707
Saque         | 360    | -15067
Depósito      | 535    | -14532
Depósito      | 603    | -13929
Saque         | 379    | -14308
Pagamento     | 612    | -14920
Depósito      | 438    | -14482
Saque         | 635    | -15117
Pagamento     | 736    | -15853
Pagamento     | 551    | -16404
Saque         | 845    | -17249
Pagamento     | 488    | -17737
Depósito      | 1334   | -16403
Pagamento     | 598    | -17001
Saque         | 839    | -17840
Depósito      | 269    | -17571
Pagamento     | 613    | -18184
Depósito      | 348    | -17836
Depósito      | 346    | -17490
Saque         | 601    | -18091
Saque         | 1097   | -19188
Depósito      | 546    | -18642
Saque         | 658    | -19300
Saque         | 410    | -19710
Depósito      | 925    | -18785
Depósito      | 997    | -17788
Pagamento     | 397    | -18185
Depósito      | 590    | -17595
Pagamento     | 828    | -18423
Depósito      | 4      | -18419
Depósito      | 1024   | -17395
Depósito      | 851    | -16544
Saque         | 355    | -16899
Depósito      | 642    | -16257
Pagamento     | 708    | -16965
Depósito      | 135    | -16830
Saque         | 716    | -17546
Depósito      | 673    | -16873
Saque         | 335    | -17208
Depósito      | 968    | -16240
Depósito      | 823    | -15417
Saque         | 225    | -15642
Depósito      | 1045   | -14597
Depósito      | 348    | -14249
Depósito      | 343    | -13906
Pagamento     | 926    | -14832
Depósito      | 749    | -14083
Depósito      | 736    | -13347
Saque         | 616    | -13963
Pagamento     | 1114   | -15077
Pagamento     | 417    | -15494
Depósito      | 618    | -14876
Depósito      | 555    | -14321
Saque         | 421    | -14742
Saque         | 662    | -15404
Pagamento     | 548    | -15952
Saque         | 413    | -16365
Depósito      | 872    | -15493
Saque         | 958    | -16451
Saque         | 444    | -16895
Saque         | 794    | -17689
Pagamento     | 415    | -18104
Depósito      | 604    | -17500
Depósito      | 514    | -16986
Pagamento     | 586    | -17572
Pagamento     | 267    | -17839
Depósito      | 853    | -16986
Saque         | 681    | -17667
Saque         | 698    | -18365
Pagamento     | 623    | -18988
Depósito      | 796    | -18192
Saque         | 1188   | -19380
Pagamento     | 816    | -20196
Saque         | 368    | -20564
Depósito      | 749    | -19815
Depósito      | 667    | -19148
Depósito      | 794    | -18354
Pagamento     | 655    | -19009
Depósito      | 507    | -18502
Saque         | 652    | -19154
Saque         | 833    | -19987
Pagamento     | 650    | -20637
Depósito      | 670    | -19967
Depósito      | 955    | -19012
Depósito      | 936    | -18076
Saque         | 417    | -18493
Depósito      | 443    | -18050
Depósito      | 351    | -17699
Depósito      | 929    | -16770
Depósito      | 834    | -15936
Saque         | 793    | -16729
Pagamento     | 639    | -17368
Pagamento     | 482    | -17850
Depósito      | 589    | -17261
Saque         | 431    | -17692
Depósito      | 557    | -17135
Depósito      | 581    | -16554
Depósito      | 936    | -15618
Depósito      | 590    | -15028
Saque         | 778    | -15806
Saque         | 577    | -16383
Depósito      | 651    | -15732
Depósito      | 629    | -15103
Saque         | 415    | -15518
Saque         | 451    | -15969
Depósito      | 734    | -15235
Depósito      | 393    | -14842
Pagamento     | 226    | -15068
Saque         | 237    | -15305
Saque         | 634    | -15939
Saque         | 639    | -16578
Saque         | 645    | -17223
Pagamento     | 657    | -17880
Depósito      | 262    | -17618
Depósito      | 835    | -16783
Depósito      | 627    | -16156
Saque         | 866    | -17022
Depósito      | 890    | -16132
Depósito      | 248    | -15884
Depósito      | 877    | -15007
Saque         | 743    | -15750
Depósito      | 753    | -14997
Saque         | 435    | -15432
Pagamento     | 1130   | -16562
Depósito      | 578    | -15984
Pagamento     | 962    | -16946
Pagamento     | 136    | -17082
Saque         | 912    | -17994
Depósito      | 517    | -17477
Pagamento     | 444    | -17921
Saque         | 459    | -18380
Saque         | 570    | -18950
Depósito      | 503    | -18447
Depósito      | 480    | -17967
Saque         | 564    | -18531
Depósito      | 664    | -17867
Pagamento     | 694    | -18561
Saque         | 696    | -19257
Saque         | 744    | -20001
Saque         | 875    | -20876
Depósito      | 1198   | -19678
Pagamento     | 602    | -20280
Pagamento     | 656    | -20936
Saque         | 365    | -21301
Saque         | 414    | -21715
Pagamento     | 1179   | -22894
Depósito      | 292    | -22602
Depósito      | 504    | -22098
Pagamento     | 462    | -22560
Saque         | 498    | -23058
