Número da conta: 326
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Pagamento     | 650    | -650
Pagamento     | 662    | -1312
Depósito      | 577    | -735
Pagamento     | 374    | -1109
Saque         | 852    | -1961
Depósito      | 820    | -1141
Saque         | 600    | -1741
Depósito      | 385    | -1356
Pagamento     | 399    | -1755
Depósito      | 312    | -1443
Pagamento     | 650    | -2093
Saque         | 774    | -2867
Pagamento     | 372    | -3239
Depósito      | 343    | -2896
Depósito      | 726    | -2170
Pagamento     | 551    | -2721
Depósito      | 495    | -2226
Depósito      | 560    | -1666
Pagamento     | 845    | -2511
Saque         | 142    | -2653
Depósito      | 640    | -2013
Depósito      | 573    | -1440
Depósito      | 1032   | -408
Pagamento     | 763    | -1171
Depósito      | 461    | -710
Pagamento     | 641    | -1351
Pagamento     | 171    | -1522
Pagamento     | 845    | -2367
Pagamento     | 604    | -2971
Depósito      | 476    | -2495
Saque         | 811    | -3306
Depósito      | 575    | -2731
Depósito      | 513    | -2218
Saque         | 685    | -2903
Depósito      | 568    | -2335
Depósito      | 265    | -2070
Depósito      | 626    | -1444
Depósito      | 601    | -843
Pagamento     | 325    | -1168
Depósito      | 917    | -251
Pagamento     | 446    | -697
Saque         | 510    | -1207
Depósito      | 725    | -482
Saque         | 285    | -767
Depósito      | 765    | -2
Depósito      | 362    | 360
Depósito      | 490    | 850
Saque         | 1322   | -472
Depósito      | 204    | -268
Pagamento     | 794    | -1062
Saque         | 485    | -1547
Pagamento     | 540    | -2087
Pagamento     | 542    | -2629
Depósito      | 617    | -2012
Depósito      | 1183   | -829
Depósito      | 694    | -135
Depósito      | 75     | -60
Pagamento     | 653    | -713
Depósito      | 290    | -423
Depósito      | 232    | -191
Pagamento     | 787    | -978
Saque         | 446    | -1424
Depósito      | 435    | -989
Depósito      | 609    | -380
Pagamento     | 667    | -1047
Pagamento     | 1033   | -2080
Depósito      | 825    | -1255
Saque         | 545    | -1800
Depósito      | 969    | -831
Depósito      | 668    | -163
Depósito      | 798    | 635
Saque         | 188    | 447
Saque         | 224    | 223
Depósito      | 590    | 813
Saque         | 547    | 266
Depósito      | 418    | 684
Saque         | 789    | -105
Depósito      | 776    | 671
Saque         | 928    | -257
Depósito      | 730    | 473
Saque         | 757    | -284
Depósito      | 800    | 516
Depósito      | 819    | 1335
Depósito      | 453    | 1788
Depósito      | 883    | 2671
Depósito      | 577    | 3248
Depósito      | 1133   | 4381
Depósito      | 87     | 4468
Pagamento     | 982    | 3486
Saque         | 329    | 3157
Depósito      | 858    | 4015
Saque         | 714    | 3301
Saque         | 540    | 2761
Saque         | 750    | 2011
Depósito      | 531    | 2542
Pagamento     | 634    | 1908
Depósito      | 957    | 2865
Depósito      | 168    | 3033
Saque         | 829    | 2204
Saque         | 933    | 1271
Saque         | 236    | 1035
Depósito      | 484    | 1519
Pagamento     | 1021   | 498
Saque         | 822    | -324
Pagamento     | 627    | -951
Saque         | 433    | -1384
Depósito      | 1238   | -146
Pagamento     | 643    | -789
Depósito      | 307    | -482
Pagamento     | 309    | -791
----------------------------------------
Saldo Atual: -791

Número da conta: 193
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Saque         | 927    | -927
Saque         | 694    | -1621
Saque         | 466    | -2087
Pagamento     | 553    | -2640
Depósito      | 486    | -2154
Depósito      | 489    | -1665
Depósito      | 404    | -1261
Depósito      | 968    | -293
Depósito      | 850    | 557
Depósito      | 931    | 1488
Depósito      | 425    | 1913
Pagamento     | 703    | 1210
Depósito      | 713    | 1923
Depósito      | 575    | 2498
Saque         | 616    | 1882
Pagamento     | 377    | 1505
Depósito      | 566    | 2071
Depósito      | 560    | 2631
Saque         | 1217   | 1414
Depósito      | 386    | 1800
Saque         | 678    | 1122
Depósito      | 898    | 2020
Saque         | 596    | 1424
Saque         | 788    | 636
Pagamento     | 729    | -93
Depósito      | 689    | 596
Saque         | 564    | 32
Pagamento     | 214    | -182
Depósito      | 586    | 404
Depósito      | 650    | 1054
Saque         | 644    | 410
Pagamento     | 606    | -196
Pagamento     | 919    | -1115
Depósito      | 390    | -725
Saque         | 1058   | -1783
Depósito      | 175    | -1608
Depósito      | 536    | -1072
Pagamento     | 496    | -1568
Saque         | 594    | -2162
Depósito      | 913    | -1249
Saque         | 584    | -1833
Depósito      | 957    | -876
Saque         | 681    | -1557
Saque         | 454    | -2011
Depósito      | 391    | -1620
Depósito      | 810    | -810
Saque         | 805    | -1615
Depósito      | 455    | -1160
Depósito      | 324    | -836
Saque         | 1033   | -1869
Depósito      | 920    | -949
Depósito      | 757    | -192
Depósito      | 406    | 214
Pagamento     | 233    | -19
Pagamento     | 931    | -950
Depósito      | 856    | -94
Depósito      | 528    | 434
Depósito      | 496    | 930
Depósito      | 588    | 1518
Depósito      | 428    | 1946
Saque         | 567    | 1379
Depósito      | 909    | 2288
Depósito      | 523    | 2811
Depósito      | 1034   | 3845
Depósito      | 656    | 4501
Pagamento     | 473    | 4028
Saque         | 818    | 3210
Pagamento     | 603    | 2607
Saque         | 635    | 1972
Pagamento     | 371    | 1601
Saque         | 543    | 1058
Depósito      | 533    | 1591
Pagamento     | 593    | 998
Depósito      | 645    | 1643
Depósito      | 320    | 1963
Saque         | 166    | 1797
Pagamento     | 765    | 1032
Pagamento     | 355    | 677
Saque         | 802    | -125
Depósito      | 983    | 858
Depósito      | 714    | 1572
Depósito      | 844    | 2416
Depósito      | 615    | 3031
Saque         | 824    | 2207
Saque         | 375    | 1832
Depósito      | 794    | 2626
Saque         | 921    | 1705
Depósito      | 477    | 2182
Pagamento     | 432    | 1750
Depósito      | 499    | 2249
Saque         | 631    | 1618
Depósito      | 442    | 2060
Depósito      | 689    | 2749
Saque         | 1069   | 1680
Saque         | 210    | 1470
Depósito      | 635    | 2105
Pagamento     | 692    | 1413
Depósito      | 191    | 1604
Depósito      | 317    | 1921
Pagamento     | 248    | 1673
Pagamento     | 770    | 903
Pagamento     | 564    | 339
Depósito      | 954    | 1293
----------------------------------------
Saldo Atual: 1293

Número da conta: 331
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Pagamento     | 615    | -615
Depósito      | 145    | -470
Depósito      | 771    | 301
Depósito      | 154    | 455
Saque         | 764    | -309
Saque         | 456    | -765
Pagamento     | 667    | -1432
Depósito      | 485    | -947
Depósito      | 696    | -251
Pagamento     | 886    | -1137
Depósito      | 1022   | -115
Depósito      | 314    | 199
Pagamento     | 973    | -774
Pagamento     | 886    | -1660
Depósito      | 837    | -823
Saque         | 811    | -1634
Depósito      | 380    | -1254
Depósito      | 1009   | -245
Depósito      | 383    | 138
Depósito      | 152    | 290
Depósito      | 434    | 724
Depósito      | 959    | 1683
Saque         | 623    | 1060
Pagamento     | 587    | 473
Pagamento     | 382    | 91
Depósito      | 593    | 684
Pagamento     | 712    | -28
Saque         | 141    | -169
Pagamento     | 850    | -1019
Pagamento     | 530    | -1549
Pagamento     | 574    | -2123
Depósito      | 773    | -1350
Saque         | 332    | -1682
Depósito      | 489    | -1193
Depósito      | 561    | -632
Depósito      | 994    | 362
Pagamento     | 748    | -386
Saque         | 714    | -1100
Pagamento     | 511    | -1611
Saque         | 356    | -1967
Pagamento     | 853    | -2820
Pagamento     | 269    | -3089
Saque         | 190    | -3279
Depósito      | 298    | -2981
